id,experiment_id,timestamp,generator_name,prompt_strategy,benchmark_name,compiles,runs_successfully,line_coverage,branch_coverage,cyclomatic_complexity,coupling_between_objects,time_cost,token_cost,correction_distance
918,llama3-70b-8192_Java_4_humaneval_constraint_based_43706fb1,"2025-08-12 23:44:35","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,6,2,0.799764992,775,
919,llama3-70b-8192_Java_4_humaneval_guided_tree_of_thought_36be4786,"2025-08-12 23:44:44","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,8,2,1.064306412,1081,
920,llama3-70b-8192_Java_5_humaneval_chain_of_thought_1648c568,"2025-08-12 23:44:52","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,7,2,0.998172025,948,
921,llama3-70b-8192_Java_5_humaneval_role_playing_4030da77,"2025-08-12 23:45:00","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,8,2,1.411504542,1162,
922,llama3-70b-8192_Java_5_humaneval_constraint_based_fe6fe1fa,"2025-08-12 23:45:09","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,7,2,1.27782293,913,
923,llama3-70b-8192_Java_5_humaneval_guided_tree_of_thought_f9ff981f,"2025-08-12 23:45:18","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,9,2,1.222103667,1154,
924,llama3-70b-8192_Java_6_humaneval_chain_of_thought_35bd97d8,"2025-08-12 23:52:47","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,10,2,1.150578852,1108,
925,llama3-70b-8192_Java_6_humaneval_role_playing_b7df307e,"2025-08-12 23:52:56","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,12,2,1.484001611,1285,
926,llama3-70b-8192_Java_6_humaneval_constraint_based_a7ca70de,"2025-08-12 23:53:04","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,8,2,0.752172702,875,
927,llama3-70b-8192_Java_6_humaneval_guided_tree_of_thought_40d0c7a5,"2025-08-12 23:53:12","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,11,2,1.210202089,1244,
928,llama3-70b-8192_Java_7_humaneval_chain_of_thought_d21a62df,"2025-08-12 23:53:20","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,8,2,1.136702925,1015,
929,llama3-70b-8192_Java_7_humaneval_role_playing_6642074f,"2025-08-12 23:53:29","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,8,2,1.453694252,1219,
930,llama3-70b-8192_Java_7_humaneval_constraint_based_c66e42d5,"2025-08-12 23:53:36","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,0,0,0.0,0.0,7,2,1.171176629,922,
931,llama3-70b-8192_Java_7_humaneval_guided_tree_of_thought_8c7b269c,"2025-08-12 23:53:45","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,9,2,1.261942756,1168,
932,llama3-70b-8192_Java_8_humaneval_chain_of_thought_1645e980,"2025-08-12 23:54:25","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,0,0,0.0,0.0,6,2,0.890617324,950,
933,llama3-70b-8192_Java_8_humaneval_role_playing_c418abd6,"2025-08-12 23:54:34","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,7,2,1.295384315,1178,
934,llama3-70b-8192_Java_8_humaneval_constraint_based_74a78578,"2025-08-12 23:54:42","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,5,2,0.867542164,852,
935,llama3-70b-8192_Java_8_humaneval_guided_tree_of_thought_6f95254e,"2025-08-12 23:54:50","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,8,2,1.064812245,1103,
936,llama3-70b-8192_Java_9_humaneval_chain_of_thought_1fc10db7,"2025-08-12 23:54:58","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,2,0.960266916,1010,
937,llama3-70b-8192_Java_9_humaneval_role_playing_e2012ac5,"2025-08-12 23:55:06","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,0,0,0.0,0.0,9,2,1.336707205,1212,
938,llama3-70b-8192_Java_9_humaneval_constraint_based_66b1cefb,"2025-08-12 23:55:15","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,7,2,0.910782177,905,
939,llama3-70b-8192_Java_9_humaneval_guided_tree_of_thought_ce92f38d,"2025-08-12 23:55:23","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,10,2,1.253344544,1209,
945,llama3-70b-8192_Java_10_humaneval_chain_of_thought_32008036,"2025-08-13 00:00:25","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,13,0,0.933742531,1035,
946,llama3-70b-8192_Java_10_humaneval_role_playing_677e1d1c,"2025-08-13 00:00:33","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,0,0,0.0,0.0,12,0,1.189397928,1223,
947,llama3-70b-8192_Java_10_humaneval_constraint_based_fbb5fb09,"2025-08-13 00:00:41","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,12,0,0.65838526,871,
948,llama3-70b-8192_Java_10_humaneval_guided_tree_of_thought_e2e56e66,"2025-08-13 00:00:49","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,15,0,1.005628742,1189,
949,llama3-70b-8192_Java_11_humaneval_chain_of_thought_fed308ac,"2025-08-13 00:00:57","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,0,0.678084797,840,
950,llama3-70b-8192_Java_11_humaneval_role_playing_9ae20bc7,"2025-08-13 00:01:05","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,7,0,1.104822257,1017,
951,llama3-70b-8192_Java_11_humaneval_constraint_based_4d675956,"2025-08-13 00:01:13","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,6,2,1.278421674,912,
952,llama3-70b-8192_Java_11_humaneval_guided_tree_of_thought_211449a7,"2025-08-13 00:01:21","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,9,0,0.738916842,972,
953,llama3-70b-8192_Java_12_humaneval_chain_of_thought_5ee156f8,"2025-08-13 00:02:32","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,3,0.90562449,952,
954,llama3-70b-8192_Java_12_humaneval_role_playing_1fd23c6e,"2025-08-13 00:02:40","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,8,3,1.096256302,1118,
955,llama3-70b-8192_Java_12_humaneval_constraint_based_0d2713d3,"2025-08-13 00:02:48","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,8,3,0.843208715,837,
956,llama3-70b-8192_Java_12_humaneval_guided_tree_of_thought_ba3f7ec7,"2025-08-13 00:02:56","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,10,3,0.84465282,1042,
957,llama3-70b-8192_Java_13_humaneval_chain_of_thought_ae1cef24,"2025-08-13 00:03:04","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,10,0,0.748644176,874,
958,llama3-70b-8192_Java_13_humaneval_role_playing_650391d6,"2025-08-13 00:03:12","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,12,0,1.102481418,1088,
959,llama3-70b-8192_Java_13_humaneval_constraint_based_5313d9aa,"2025-08-13 00:03:20","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,8,0,0.751399206,794,
960,llama3-70b-8192_Java_13_humaneval_guided_tree_of_thought_3201773a,"2025-08-13 00:03:28","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,10,0,1.05061796,1079,
961,llama3-70b-8192_Java_14_humaneval_chain_of_thought_b34b38f3,"2025-08-13 00:04:45","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,0,0,0.0,0.0,6,2,0.864519196,880,
962,llama3-70b-8192_Java_14_humaneval_role_playing_4c28ac14,"2025-08-13 00:04:53","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,6,2,0.838312802,950,
963,llama3-70b-8192_Java_14_humaneval_constraint_based_8031c1b8,"2025-08-13 00:05:01","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,5,2,0.644338479,715,
964,llama3-70b-8192_Java_14_humaneval_guided_tree_of_thought_064b85bd,"2025-08-13 00:05:09","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,8,2,0.893385674,979,
965,llama3-70b-8192_Java_15_humaneval_chain_of_thought_c092ddb0,"2025-08-13 00:05:17","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,6,0,0.651844491,826,
966,llama3-70b-8192_Java_15_humaneval_role_playing_62557996,"2025-08-13 00:05:24","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,6,0,0.615871917,897,
967,llama3-70b-8192_Java_15_humaneval_constraint_based_dcf5c61a,"2025-08-13 00:05:32","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,5,0,0.563188862,704,
968,llama3-70b-8192_Java_15_humaneval_guided_tree_of_thought_6337ddd1,"2025-08-13 00:05:40","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,7,0,0.583759272,900,
969,llama3-70b-8192_Java_16_humaneval_chain_of_thought_8ffbceff,"2025-08-13 00:06:28","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,6,2,0.629519066,799,
970,llama3-70b-8192_Java_16_humaneval_role_playing_defed90a,"2025-08-13 00:06:36","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,9,2,0.981029005,999,
971,llama3-70b-8192_Java_16_humaneval_constraint_based_3629aa36,"2025-08-13 00:06:43","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,7,2,0.696123035,739,
972,llama3-70b-8192_Java_16_humaneval_guided_tree_of_thought_dbfd0339,"2025-08-13 00:06:51","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,8,2,0.717665587,922,
973,llama3-70b-8192_Java_17_humaneval_chain_of_thought_59db4c9c,"2025-08-13 00:06:59","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,9,2,1.050908354,1087,
974,llama3-70b-8192_Java_17_humaneval_role_playing_eeb5e61f,"2025-08-13 00:07:08","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,11,2,1.429895446,1253,
975,llama3-70b-8192_Java_17_humaneval_constraint_based_49ba6532,"2025-08-13 00:07:16","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,9,2,0.816063357,907,
976,llama3-70b-8192_Java_17_humaneval_guided_tree_of_thought_df29683b,"2025-08-13 00:07:24","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,11,2,1.232073754,1271,
977,llama3-70b-8192_Java_18_humaneval_chain_of_thought_9a43b56a,"2025-08-13 00:08:07","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,9,0,0.9370744,938,
978,llama3-70b-8192_Java_18_humaneval_role_playing_3af463af,"2025-08-13 00:08:15","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,10,0,0.981044318,1066,
979,llama3-70b-8192_Java_18_humaneval_constraint_based_70c27e51,"2025-08-13 00:08:23","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,8,0,0.845792639,822,
980,llama3-70b-8192_Java_18_humaneval_guided_tree_of_thought_187285c7,"2025-08-13 00:08:30","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,10,0,0.794370711,1000,
981,llama3-70b-8192_Java_19_humaneval_chain_of_thought_6803fc80,"2025-08-13 00:08:38","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,29,3,0.821229924,1129,
982,llama3-70b-8192_Java_19_humaneval_role_playing_81c128b7,"2025-08-13 00:08:46","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,96.1538461538462,28,3,1.039147305,1298,
983,llama3-70b-8192_Java_19_humaneval_constraint_based_ac20e687,"2025-08-13 00:08:54","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,96.1538461538462,29,3,0.848363262,1052,
984,llama3-70b-8192_Java_19_humaneval_guided_tree_of_thought_a1438bbd,"2025-08-13 00:09:02","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,96.1538461538462,29,3,0.954613549,1288,
987,llama3-70b-8192_Java_20_humaneval_chain_of_thought_158a2cef,"2025-08-13 00:13:22","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,2,1.054659085,1197,
988,llama3-70b-8192_Java_20_humaneval_role_playing_e780f0f4,"2025-08-13 00:13:31","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,9,2,1.482719372,1411,
989,llama3-70b-8192_Java_20_humaneval_constraint_based_8d5aac6e,"2025-08-13 00:13:39","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,7,2,1.03219914,1079,
990,llama3-70b-8192_Java_20_humaneval_guided_tree_of_thought_575f1aef,"2025-08-13 00:13:44","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,0,0,0.0,0.0,,,0.0,0,
999,llama3-70b-8192_Java_21_humaneval_chain_of_thought_1a2ed69b,"2025-08-13 00:30:46","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,6,2,1.167814663,1071,
1000,llama3-70b-8192_Java_21_humaneval_role_playing_322c5338,"2025-08-13 00:30:55","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,8,2,1.976782009,1463,
1001,llama3-70b-8192_Java_21_humaneval_constraint_based_1dcf4489,"2025-08-13 00:31:03","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,5,2,0.837243234,867,
1002,llama3-70b-8192_Java_21_humaneval_guided_tree_of_thought_1ddc31c7,"2025-08-13 00:31:34","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,7,2,1.432040041,1257,
1007,llama3-70b-8192_Java_22_humaneval_chain_of_thought_f7aea712,"2025-08-13 08:09:04","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,8,3,1.030666866,980,
1008,llama3-70b-8192_Java_22_humaneval_role_playing_1e0101ad,"2025-08-13 08:09:13","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,0,0,0.0,0.0,8,3,1.447118715,1206,
1009,llama3-70b-8192_Java_22_humaneval_constraint_based_9479c8d9,"2025-08-13 08:09:21","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,7,3,1.146418609,920,
1010,llama3-70b-8192_Java_22_humaneval_guided_tree_of_thought_124a6be3,"2025-08-13 08:09:29","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,9,3,1.12849215,1097,
1011,llama3-70b-8192_Java_23_humaneval_chain_of_thought_5f46e802,"2025-08-13 08:29:32","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,0,0,0.0,0.0,6,0,0.715802242,758,
1012,llama3-70b-8192_Java_23_humaneval_role_playing_ce76394d,"2025-08-13 08:29:40","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,0.0,5,0,0.782637758,890,
1013,llama3-70b-8192_Java_23_humaneval_constraint_based_ee40684a,"2025-08-13 08:29:48","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,0.0,4,0,0.539104451,620,
1014,llama3-70b-8192_Java_23_humaneval_guided_tree_of_thought_a6b8c44a,"2025-08-13 08:29:55","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,0.0,6,0,0.605989772,826,
1015,llama3-70b-8192_Java_24_humaneval_chain_of_thought_8574facd,"2025-08-13 08:30:03","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,7,0,0.636745246,798,
1016,llama3-70b-8192_Java_24_humaneval_role_playing_a70bbd7b,"2025-08-13 08:30:11","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,9,0,0.92230057,975,
1017,llama3-70b-8192_Java_24_humaneval_constraint_based_25ec627f,"2025-08-13 08:30:19","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,6,0,0.524026076,664,
1018,llama3-70b-8192_Java_24_humaneval_guided_tree_of_thought_ad96f853,"2025-08-13 08:30:27","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,9,0,0.774874478,928,
1019,llama3-70b-8192_Java_25_humaneval_chain_of_thought_88e9cdb1,"2025-08-13 08:33:40","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,9,2,1.094010158,1062,
1020,llama3-70b-8192_Java_25_humaneval_role_playing_275dd54f,"2025-08-13 08:33:48","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,9,2,1.205997299,1157,
1021,llama3-70b-8192_Java_25_humaneval_constraint_based_c1732c63,"2025-08-13 08:33:56","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,8,2,0.942189261,904,
1022,llama3-70b-8192_Java_25_humaneval_guided_tree_of_thought_f1ecdbf2,"2025-08-13 08:34:04","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,10,2,1.023675709,1146,
1023,llama3-70b-8192_Java_26_humaneval_chain_of_thought_7d23d403,"2025-08-13 08:34:12","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,6,3,0.896911839,949,
1024,llama3-70b-8192_Java_26_humaneval_role_playing_d4b0d528,"2025-08-13 08:34:21","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,7,3,1.277779108,1159,
1025,llama3-70b-8192_Java_26_humaneval_constraint_based_2b6d282d,"2025-08-13 08:34:29","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,5,3,0.823134843,808,
1026,llama3-70b-8192_Java_26_humaneval_guided_tree_of_thought_6a0050e9,"2025-08-13 08:34:37","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,8,3,1.041271995,1086,
1027,llama3-70b-8192_Java_27_humaneval_chain_of_thought_bdd7b985,"2025-08-13 08:35:55","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,0,0.683692286,819,
1028,llama3-70b-8192_Java_27_humaneval_role_playing_e764218f,"2025-08-13 08:36:03","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,10,0,1.024979182,1026,
1029,llama3-70b-8192_Java_27_humaneval_constraint_based_d802c8e0,"2025-08-13 08:36:11","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,8,0,0.628616809,721,
1030,llama3-70b-8192_Java_27_humaneval_guided_tree_of_thought_2e8c8ce6,"2025-08-13 08:36:19","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,9,0,0.943455701,1038,
1031,llama3-70b-8192_Java_28_humaneval_chain_of_thought_75b19de2,"2025-08-13 08:36:27","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,7,2,0.932574966,879,
1032,llama3-70b-8192_Java_28_humaneval_role_playing_ae27e921,"2025-08-13 08:36:35","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,5,2,0.898904141,922,
1033,llama3-70b-8192_Java_28_humaneval_constraint_based_17fe0f31,"2025-08-13 08:36:43","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,5,2,0.637288844,671,
1034,llama3-70b-8192_Java_28_humaneval_guided_tree_of_thought_cf8c72bb,"2025-08-13 08:36:50","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,6,2,0.674068245,893,
1035,llama3-70b-8192_Java_29_humaneval_chain_of_thought_a60f6cd1,"2025-08-13 08:37:57","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,0.0,7,2,1.014877384,957,
1036,llama3-70b-8192_Java_29_humaneval_role_playing_c376998d,"2025-08-13 08:38:06","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,6,2,1.422242416,1202,
1037,llama3-70b-8192_Java_29_humaneval_constraint_based_5ca957ee,"2025-08-13 08:38:14","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,0,0,0.0,0.0,6,2,1.67072739,953,
1038,llama3-70b-8192_Java_29_humaneval_guided_tree_of_thought_f9c77624,"2025-08-13 08:38:22","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,0,0,0.0,0.0,7,2,1.428902541,1192,
1039,llama3-70b-8192_Java_30_humaneval_chain_of_thought_909ce3fd,"2025-08-13 08:38:30","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,5,2,0.951701466,966,
1040,llama3-70b-8192_Java_30_humaneval_role_playing_9f95befc,"2025-08-13 08:38:39","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,6,2,1.387416207,1200,
1041,llama3-70b-8192_Java_30_humaneval_constraint_based_e8f2d91c,"2025-08-13 08:38:47","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,4,2,1.000439399,840,
